,title_1,address,school_district,action,index
25,Clermont Northeastern Schools,2792 U.S. 50 | Batavia OH 45103 | (513) 625-1211,,,57
26,Andover Public Schools,"1432 N. Andover Rd., Andover, KS 67002",,school_district,59
27,Chesapeake Public Schools,"1421 Kristina Way, Chesapeake, VA 23320",,school_district,61
28,Macomb Academy,"39092 Garfield Rd., Clinton Township, MI 48038 Phone: (586) 228-2201",,,62
29,Cowan Community School Corporation,,,school_district,63
30,New Knoxville Schools,"345 S. Main St | P.O. Box 476 | New Knoxville, OH 45871",,school_district,65
31,The University of Utah,"201 Presidents Circle, Rm 201| Salt Lake City, UT 84112 | 801.581-3088",,school_district,67
32,Chartiers Valley Board of School Directors,,,school_district,69
33,National Trail Local Schools,"6940 Oxford-Gettysburg Rd | New Paris, OH 45347 | 937-437-3333",,school_district,71
34,Huntington County Community School Corporation,"1063 E 900 S | Warren, IN 46792 | p (260) 356-8312  | f (260) 358-2222",,school_district,72
35,Tuscarora Intermediate Unit 11,,,school_district,76
36,LaSalle Parish School Board,"3012 N First Street Jena, Louisiana 71342",,school_district,79
37,Lorain County JVS,"15181 State Route 58, Oberlin, OH 44074",,,80
38,Riverside Academy,"6409 Schaefer Rd., Dearborn, MI 48126 (West) Phone: (313) 624-3600",,,82
39,Sparta Area Schools,,,school_district,85
40,Northern Virginia Community College,,,school_district,93
41,Seven Generations Charter School,"33 East Minor St Emmaus, PA 18049 | 610-421-8844",,school_district,94
42,Rancocas Valley Regional High School,"520 Jacksonville Road | Mt. Holly, NJ 08060 | (609) 267-0830",,school_district,97
43,Riverdale Local Schools,,,school_district,99
44,Grand Rapids Public Schools,"1331 Martin Luther King Jr. St. SE | Grand Rapids, MI 49506 | 616.819.2000",,school_district,100
45,The Greenspire School,"1026 Red Drive, Traverse City, Michigan 49684 Phone: (231) 421-5905",,,101
46,Hillman Community Schools,,,school_district,102
47,Edgar Excellence,,Edgar School District 203 East Birch Street 715-352-2351,school_district,106
48,Lewis & Clark Community College,"5800 Godfrey Rd. Godfrey, IL 62035",,,109
49,Petersburg City School Board,255 South Boulevard E. Petersburg VA - 23805-2700,,school_district,110
50,San Benito CISD,"240 N. Crockett St., San Benito, TX 78586 | 956-361-6100",,school_district,111
51,Eagle's Nest Academy,"5005 Cloverlawn Dr, Flint, MI 48504 Phone: (810) 869-6495",,,112
52,Waynesfield Goshen Local Schools,"500 N. Westminster St. | Waynesfield, OH 45896 |  (419) 568-9100 | (419) 568-8024",,school_district,116
53,Passaic County Technical-Vocational Institute,"45 Reinhardt Road, Wayne, NJ 07470",,,118
54,Napa Valley Community College District,"2277 Napa-Vallejo Highway  Napa, CA 94558  (707) 256-7160",,,120
55,Buckeye Local Schools,"3044 Columbia Road, Medina OH  44256",,,121
56,341 NORTH EMERY AVENUE,,PESHTIGO SCHOOL DISTRICT,school_district,125
57,"City of Trenton, Michigan","2800 Third Street | Trenton, MI 48183 | (734) 675-8600",,,127
58,"Odyssey Charter School, Inc.","1755 Eldron Blvd. SE • Palm Bay, FL 32909 • 321-733-0442 • info@odysseycharterschool.com",,,128
59,Lake Linden-Hubbell Public Schools,,,school_district,129
60,Monroe Central School Corporation,,,school_district,130
61,Bloom-Carroll Local Schools,"5240 Plum Road NW | Carroll, OH 43112 | 614-837-6560",,school_district,131
62,Englewood Schools - Building a New Tradition of Excellence,"4101 South Bannock Street | Englewood, CO 80110 | Ph: 303-761-7050",,,133
63,Southern Lehigh SD,"5775 Main Street | Center Valley, PA 18034 | 610.282.3121",,school_district,135
64,Board Meeting Documents and Policies,,IROQUOIS SCHOOL DISTRICT,school_district,136
65,Great Rivers Greenway,"3745 Foundry Way, Ste 253| St. Louis, Missouri 63110 | 314-436-7009",,,138
66,Greensville County Public Schools,"105 Ruffin Street | Emporia, VA 23847 | (434) 634-3748",,school_district,139
67,Tri-Rivers Career Center,,,school_district,140
68,Washington County Public Schools,"812 Thompson Drive | Abingdon, VA 24210 | Phone: (276)739-3000",,school_district,141
69,Bradley-Bourbonnais CHSD #307,"700 West North Street, Bradley, IL 60915 | p (815) 937-3707 | f (815) 937-0156",,school_district,144
70,West Jefferson Local Schools,"906 West Main Street | West Jefferson, OH 43162 | 614-879-7654",,school_district,147
71,Holland Public Schools,,,school_district,149
72,San Jose-Evergreen Community College District,,,school_district,150
73,Kansas Turnpike Authority,"9401 E Kellogg | Wichita, KS 67207 | (316) 682-4537",,drop,152
74,Old Mission Peninsula School,"2699 Island View Rd | Traverse City, MI 49686 | (231) 252-0225",,school_district,153
75,,75 Chenango Ave Clinton NY13323,Clinton Central School District,address,155
76,Randolph Eastern School Corporation,,,school_district,159
77,Barnesville EVSD,"210 West Church Street, Barnesville, OH 43713 | 740.425.3615",,school_district,160
78,Santa Barbara City College,"721 Cliff Drive | Santa Barbara, CA 93109-2394 | Main Campus: 805.965.0581",,school_district,162
79,Royal Oak Schools,,,school_district,163
80,"The Village of Bourbonnais, Illinois","600 Main St N.W. | Bourbonnais, IL 60914",,,165
81,Lake Station Community Schools,,,school_district,168
82,Peck Community Schools,,,school_district,169
83,Lawrence County ESC,,,school_district,172
84,Wes-Del Community Schools,,,school_district,173
85,John Glenn School Corporation,,,school_district,175
86,Patrick County Public Schools,"132 North Main Street, P.O. Box 346, Stuart, VA 24171 | Phone: 276-694-3163 | Fax: 276-694-3170",,school_district,176
87,Boone County Board of Education,"69 Avenue B | Madison, WV 25130 | Phone 304-369-3131 | Fax 304-369-6789",,school_district,177
88,Dover City Schools,"228 West 6th Street | Dover, OH 44522 | 330-364-1906",,school_district,180
89,York County School Division,"302 Dare Road • Yorktown, Virginia 23692 • Phone: (757) 898-0300 • FAX: (855) 878-9063",,school_district,183
90,Beaver County Career & Technology Center Policy Manual,,,school_district,184
91,Barnstable Public Schools,"230 South Street  Hyannis, MA 02601 | 508-862-4953",,school_district,186
92,Pima County Community College District,"4905 E. Broadway Blvd. | Tucson, AZ  85709-1010 | (520) 206-4500",,school_district,189
93,Lancaster County Public Schools,"P.O.Box 2000| Kilmarnock, Virginia 22482-2000| 804-462-5100",,school_district,191
94,SER YouthBuild Learning Academy,"9215 Michigan Ave, Detroit, MI 48210",,school_district,192
95,Craig County Public Schools,"6 Alleghany Cr., New Castle, VA 24127",,school_district,193
96,Onondaga Cortland Madison BOCES,,,school_district,194
97,Shamong Township Schools,"295 Indian Mills Road | Shamong, NJ 08088 | (609) 268-0316 | f (609) 268-1229",,school_district,195
98,Target Range School,"4095 South Avenue West  Missoula, MT 59804 | 406-549-9239",,school_district,196
99,Beaver Local Schools,,,school_district,200
100,BOARD OF EDUCATION,,Park City School District,school_district,202
101,Washington State School Directors' Association,"Mailing Address: P. O. Box 5248 • Lacey, Washington 98609 • 360-493-9231",,,203
102,Fayetteville Public Schools,"1000 West Bulldog Blvd. Fayetteville, AR 72701 | 479-444-3000",,school_district,205
103,Montrose Community Schools,,,school_district,206
104,Greensburg Community Schools,,,school_district,207
105,Clinton Central School Corporation,"725 N. State Rd. 29 Michigantown, IN 46057 | (765) 249-2515",,school_district,209
106,Giles County Public Schools,"151 School Road, Pearisburg, VA 24134",,school_district,212
107,Pendleton County Schools,"PO Box 888/58 Walnut Street, Franklin, West Virginia 26807",,school_district,213
108,Bentonville Schools,"500 Tiger Boulevard     |     Bentonville, AR 72712     |     P (479) 254-5000     |     F (479) 271-1159",,school_district,215
109,East Guernsey Local Schools,"65591 Wintergreen Rd. | Lore City, OH 43755 | 740-489-5190",,school_district,216
110,Scarborough Public Schools,"259 U.S. Route 1 | P.O. Box 370 Scarborough, Maine 04070",,school_district,221
111,San Luis Obispo County Community College District,"Highway 1 | San Luis Obispo, CA 93403-8106 | (805) 546-3118",,school_district,222
112,George Washington Carver Academy,"14510 Second Ave. | Highland Park, MI 48203 | 313-865-6024",,school_district,224
113,Kent County Public Schools Board of Education,"5608 Boundary Ave | Rock Hall, MD 21661  | 410-778-1595",,school_district,225
114,Home of the Tigers,"403 Audubon Road Howards Grove, WI  53083",,school_district,226
115,Lebanon County Career & Technology Center,,,school_district,228
116,Ball-Chatham Board of Education,"1475 E. Plummer Blvd Chatham, Illinois 62629",,school_district,229
117,"City of Sterling, Illinois","212 Third Avenue |  Sterling, IL 61081 | p 815-632-6621 | f 815-632-6671",,,239
118,Wayland Union Schools,"850 E. Superior Street Wayland, MI 49348 | (269) 792-2181",,school_district,240
119,,"Address: 927-A South Street, Pataskala, Ohio 43062 | Phone: 740-927-3941",,address,242
120,Meetings and Information,,Millville Area School District,school_district,244
121,Prairie Heights Community School Corporation,"0305 S 1150 E | LaGrange, IN 46761 | 260-351-3214 x5260",,school_district,248
122,Jordan-Elbridge CSD,"9 N. Chappell St., PO Box 902 | Jordan, NY 13080",,school_district,249
123,Daleville Community Schools,,,school_district,251
124,Lakewood Board of Education,"200 Ramsey Ave., Lakewood, NJ  08701  - 732-364-2400",,school_district,253
125,Fairfield Local Schools District,"11611 State Route 771 Leesburg, OH 45135 | 937-780-2221",,school_district,254
126,North Montgomery School Corporation,"480 W. 580 N. Crawfordsville , IN 47933 | 765-359-2112",,school_district,260
127,Covington Exempted Village Schools,"807 Chestnut Street Covington, OH 45318",,school_district,261
128,Minford Local Schools,,,school_district,262
129,Naperville Park District,"320. W. Jackson Ave. Naperville, IL 60540 | 630-848-5000",,school_district,269
130,Rochester Community School Corporation,"690 Zebra Lane | Rochester, Indiana 46975-0108 |574-223-2159 | f 574-223-4909",,school_district,270
131,Tuscarora S D,,Tuscarora School District,school_district,273
132,Bay City Public Schools,,,school_district,276
133,Nineveh - Hensley - Jackson United School Corporation,,,school_district,278
134,Gwinnett County Public Schools,,,school_district,279
135,Striving for a century of excellence,,The Pascagoula-Gautier School District,school_district,281
136,Leipsic Local Schools,,,school_district,282
137,Putnam County Educational Service Center,,,school_district,283
138,Peru Community Schools,,,school_district,284
139,Bromley East Charter School,"356 Longspur Dr  Brighton, CO 80601 | 720-685-3297",,school_district,285
140,Republic-Michigamme School,"227 Maple Street Republic, MI  49879",,school_district,289
141,Dalton Local Schools,,,school_district,296
142,Hacienda La Puente Board of Education,"15959 E Gale Ave • City Of Industry, CA 91745 • 626 933-1000 • info@hlpusd.k12.ca.us",,school_district,297
143,Merrillville Community School Corporation,"6701 Delaware Street Merrillville, IN 46410 | 219.650.5300",,school_district,298
144,Home of the Ponies,"1745 Milldrum Street, Union Grove, WI 53182",,school_district,299
145,Eaton Rapids Public Schools,,,school_district,302
146,Minnesota Board on Aging,"540 Cedar Street St. Paul, MN 55155 | 1-800-882-6262",,school_district,303
147,Kingsport City Schools eGovernance,,,school_district,305
148,Imperial County Office of Education,"1398 Sperber Road | El Centro, CA 92243 | p (760) 312-6464 | f (760) 312-6565",,school_district,306
149,Caroline County Public Schools VA,"16261 Richmond Turnpike Bowling Green, VA 22427-2203 | (804) 633-5088",,school_district,309
150,"Inspiring and Building Futures, One Student at a Time","2390 S Milford Road, Highland, MI 48357",,school_district,311
151,Inspiring Excellence,,Hancock Place School District,school_district,314
152,Bellbrook-Sugarcreek Local Schools,"St.Pierre Education Center, 3757 Upper Bellbrook Rd, Bellbrook OH 45305; 937-848-5001",,school_district,316
153,Southington Local Schools,"2482 St. Rt. 534 | Southington, OH 44470 | 330-898-7480",,school_district,317
154,iCademy Global,"8485 Homestead, Zeeland, MI 49464 Phone: 616-748-5637",,school_district,318
155,Peninsula Health Care District,"1819 Trousdale Drive | Burlingame, CA 94010 | (650) 697-6900",,school_district,320
156,Bergen County Technical Schools,"540 Farview Ave. , Paramus , NJ 07652",,school_district,322
157,Jackson City Schools,"450 Vaughn Street | Jackson, Ohio 45640 | 740-286-6442 | f 740-286-6445​",,school_district,324
158,Jackson Public Schools,,,school_district,325
159,Jersey City Public Schools,"346 Claremont Avenue | Jersey City, NJ 07305 | Phone: 201-915-6000",,school_district,330
160,Wapakoneta City Schools,,,school_district,331
161,Baugo Community Schools,,,school_district,336
162,Lakeland School Corporation,,,school_district,338
163,Northern Tier Career Center,,,school_district,342
164,New Kent County Public Schools,"12003 New Kent HWY | New Kent, VA 23124 | Tel: 804.966.9650",,school_district,343
165,Tri-County North Local Schools,"436 N. Commerce St. | Lewisburg, OH 45338 | 937-962-2671",,school_district,345
166,Rappahannock County Public Schools,"6 School House Road, Washington, VA 22747 Phone: 540-227-0023",,school_district,349
167,TAHQUAMENON AREA SCHOOLS,,,school_district,350
168,Wheelerville Union Free School,"2417 State Hwy 10, Caroga Lake, NY 12032",,school_district,354
169,Mendocino-Lake Community College District,"1000 Hensley Creek Road, Ukiah, CA",,school_district,356
170,Jonathan Alder Local Schools,"9200 US Highway 42 S | Plain City, OH 43064",,school_district,357
171,Madison District Public Schools,,,school_district,359
172,Multicultural Academy,"5550 Platt Road, Ann Arbor MI. 48108 Phone: 734-677-0732",,school_district,360
173,Howell Public Schools,,,school_district,361
174,Illinois Mathematics and Science Academy,"1500 Sullivan Road | Aurora, IL 60506-1000 | 630-907-5000 |",,school_district,366
175,Warren County Educational Service Center,,,school_district,368
176,Autism Model of Toledo,"3020 Tremainsville Rd, Toledo, OH 43613",,school_district,370
177,Circle of Independent Learning Charter School,"4700 Calaveras Ave  •  Fremont, CA 94538",,school_district,374
178,Northview Public Schools,"4365 Hunsberger Ave, NE   |   Grand Rapids, MI 49525   |   616.365.6861",,school_district,376
179,Russia Local School,,,school_district,378
180,Grand Blanc Community Schools NEOLA,,,school_district,379
181,Tangipahoa Parish School System,"59656 Puleston Road | Amite, LA 70422 | P: 985-748-7153 | F: 985-748-8587",,school_district,381
182,Sparta Board of Education,"18 Mohawk Avenue  Sparta, NJ 07871 | 973-729-2155",,school_district,382
183,AuTrain-Onota Public Schools,,,school_district,383
184,West Michigan Academy of Environmental Science,"4463 Leonard St. NW, Walker, MI 49534 Phone: (616) 791-7454",,school_district,387
185,Tri-County ESC,,,school_district,389
186,Marlette Community Schools,,,school_district,391
187,Burlington Public Schools,"301 Neosho Street Burlington, KS 66839 | 620-364-8478",,school_district,401
188,Temecula Preparatory School,"35777 Abelia Street | Winchester, CA 92596 | 951.926.6776 | f 951.926.6797",,school_district,402
189,Temecula Valley Charter School,"Temecula Valley Charter 35755 Abelia St. Winchester, CA 92596 | (951) 294-6775",,school_district,407
190,Bucks County Intermediate Unit,,,school_district,408
191,Ithaca Public Schools,,,school_district,409
192,McDonald Local Schools,"600 Iowa Avenue | McDonald, OH 44437 | 330-530-8051",,school_district,412
193,"City of Laurel, Maryland","8103 Sandy Spring Road | Laurel, Maryland 20707 | 301-725-5300",,school_district,414
194,Calvert County Public Schools,,,school_district,415
195,King William County Public Schools,"18548 King William Road | King William, VA 23086 | p (804) 769-3434 | f (804) 769-3312",,school_district,420
196,Olmsted Falls City Schools,"26937 Bagley Road | Olmsted Falls, Ohio 44138 | p (440) 427-6000 | f (440) 427-6010",,school_district,422
197,Montgomery County Intermediate Unit #23,"2 West Lafayette Street, Norristown, PA 19401",,school_district,424
198,Goshen Local Schools,"6694 Goshen Rd. | Goshen, OH 45122 | 513-722-2222",,school_district,427
199,Rio Hondo College,"3600 Workman Mill Road Whittier, CA 90601 | 562.692.0921",,school_district,428
200,Oak Lawn Community High School,"9400 Southwest Hwy. Oak Lawn, IL 60453 Phone: (708) 424-5200 District Fax: (708) 424-5297 School Fax: (708) 424-5263",,school_district,429
201,Kalamazoo RESA,"1819 E. Milham Ave., Portage, MI 49002     (269) 250-9200",,school_district,430
202,Clinton County RESA,,,school_district,431
203,District Policies,,East Holmes Local School District,school_district,432
204,Michigan Online School,,,school_district,440
205,Delaware-Chenango-Madison-Otsego BOCES,6678 County Road 32 Norwich | New York 13815 |(607) 335-1200 | f (607) 334-9848,,school_district,441
206,Bucks County Technical High School,"610 Wistar Road , Fairless Hills, PA 19030",,school_district,442
207,Lumberton Township Schools,"33 Municipal Dr | Lumberton, NJ 08048 | 609-267-1406",,school_district,445
208,Tiospa Zina Tribal School,"#2 Tiospa Zina Drive | Agency Village, SD 57262 | (605) 698-3953 | f (605) 698-7686",,school_district,446
209,Charter School of Excellence,"1309 French Street Erie, Pennsylvania 16501",,school_district,450
210,#AP_EveryStudentEveryDay,,Welcome to Averill Park Central School District,school_district,451
211,Sylvania Schools,"Bradley J. Rieger Administration Building 4747 N. Holland Sylvania Road | Sylvania, Ohio 43560 | p 419-824-8500 | f 419-824-8600",,school_district,458
212,The Terra Academy,"267 Aggie Blvd Vernal, UT 84078",,school_district,459
213,Gallia-Jackson-Vinton JVSD,"351 Buckeye Hills Road | Rio Grande, OH 45674 | 740-245-5334",,school_district,460
214,Grass Lake Community Schools,,,school_district,461
215,North Lawrence Comm. School Corp.,"460 W Street, Bedford, IN 47421, Phone: (812)-279-3521",,school_district,467
216,Upper Township,,The School District of,school_district,474
217,Colorado Charter School Institute,"1525 Sherman St | B76 | Denver, CO 80203 | Ph:303-866-3299 | Fx:303-866-2530",,school_district,475
218,Barstow Community College,"2700 Barstow Road • Barstow, California 92311 • 760.252.2411 • FAX 760.252.1875 • TTY 760. 252.6759",,school_district,477
219,Tri County Area Schools,,,school_district,478
220,Riverview Intermediate Unit 6,,,school_district,479
221,St. Louis Public Schools,"801 N. 11th Street  •  St. Louis, MO, 63101  •  P: 314-231-3720",,school_district,481
222,Muskegon Covenant Academy,"125 Catherine Avenue | Muskegon, MI 49442 | 231-720-3100",,school_district,483
223,Allegheny Intermediate Unit,"475 East Waterfront Drive, Homestead, PA 15120 |",,school_district,484
224,Northeastern Wayne School Corporation IN,"7299 US 27 N., P.O. Box 406 Fountain City, IN. 47341 | (765) 847-2821",,school_district,485
225,EHOVE Career Center,"316 W. Mason Rd Milan, OH 44846 Ph 419-499-4663",,school_district,489
226,Buffalo Public Schools,"712 City Hall | Buffalo, New York 14202 | (716) 816-3500",,school_district,490
227,Waldron Area Schools,"13380 Waldron Road Waldron, MI 49288",,school_district,491
228,Northwest Allen County Schools,"13119 Coldwater Rd  |  Fort Wayne, IN 46845  |  260-637-3155  | f 260-637-8355",,school_district,492
229,Home of the Griffins,"777 South Street / PO Box 240 / Laporte, PA  18626 / Phone (570) 946-8200",,school_district,493
230,Argos Community Schools,,,school_district,495
231,St. James Parish Schools,P0 Box 338 | Lutcher LA 70071 | Phone 225-258-4500,,school_district,497
232,East Central Educational Service Center,"705 West 21st Street | Connersville, IN 47331 | Ph: (765) 825-1247 Fx: (765) 825-2532",,school_district,499
233,Hubbard Eagles,"108 Orchard Avenue | Hubbard, Ohio 44425 | 330-534-1921",,school_district,502
234,Greenbush - The Southeast Kansas Education Service Center,"947 W 47 Highway • PO Box 189 • Girard, KS 66743 • Ph: 620.724.6281 • Fx: 620.724.6284",,school_district,503
235,Brunswick County Public Schools,"1718 Farmers Field Road | Lawrenceville, VA 23868 | (434) 848-3138 | Fax (434) 848-4001",,school_district,504
236,Gateway Adult Education Network,,,school_district,506
237,Breckenridge Community Schools,,,school_district,509
238,Kensington Woods Schools,"9501 Pettys Road, Lakeland, MI 48143 Phone: 517-545-0828",,school_district,510
239,Board of Education of Cecil County,"201 Booth Street, | Elkton, MD 21921 | Phone: 410-996-5400",,school_district,513
240,Fairview Park City Schools,"21620 Mastick Road | Fairview Park, Oh 44126 | 440-331-5500",,school_district,514
241,Scarsdale Public Schools,"2 Brewster Road | Scarsdale, NY 10583 | 914-721-2400",,school_district,515
242,Grand Blanc Academy,"5135 E. Hill Rd., Grand Blanc, MI 48439 Phone: 810-953-3140",,school_district,516
243,Union County Public Schools,"400 N. Church Street, Monroe, NC 28112 | 704-296-9898",,school_district,518
244,Tulsa Technology Center,"P.O. Box 477200 | Tulsa, OK 74147-7200 | (918) 828-5000 | f (918) 828-5009",,school_district,519
245,Herington Schools USD 487,"19 North Broadway | Herington, KS  67449 | 785.258.2263 | f 785.258.2982",,school_district,520
246,Erie County Technical School,"8500 Oliver Road, Erie, PA 16509 / 814-464-8600 Phone",,school_district,522
247,Rocklin Academy Family of Schools CA,"2204 Plaza Dr. Suite 200, Rocklin, CA 95765 | (916) 778-4544",,school_district,523
248,Southern Ohio Educational Service Center,"3321 Airborn Road | Wilmington, OH 45177 | 937-382-6921",,school_district,524
249,Walkerville Public Schools,,,school_district,527
250,Prince William County Public Schools,,,school_district,532
251,Warren Consolidated Schools,,,school_district,535
252,Shepherd Public Schools,,,school_district,536
253,Wayne County Public Schools,"2001 E. Royall Ave | Goldsboro, NC 27534 | 919-731-5900 | Fax 919-705-6199",,school_district,537
254,Logansport Community School Corporation,"2829 George Street Logansport, IN 46947",,school_district,541
255,Village of South Elgin,"10 N. Water Street South Elgin, IL 60177-1602 | 847-742-5780",,drop,544
256,Henrico County Public Schools,"3820 Nine Mile Road | Henrico, Virginia 23223 | 804.652.3600",,school_district,545
257,Iroquois County CUSD9,"Iroquois County CUSD #9 Unit Office         1411 W. Lafayette St. Watseka, IL 60970 | 815-432-4931",,school_district,548
258,Lebanon Community School Corporation,,,school_district,550
259,Prairie View USD 362,"13799 KS Hwy 152 | La Cygne, KS 66040 | Ph: 913-757-2677 Fx: 913-757-4442",,school_district,553
260,Girard City Schools,"100 West Main St SE #2 | Girard, OH 44420 | 330-545-2596",,school_district,555
261,Yucaipa-Calimesa Joint USD,"12797 Third St, Yucaipa, CA 92399 | 909-797-0174",,school_district,560
262,Nelsonville-York City Schools,"2 Buckeye Drive | Nelsonville, OH 45764 | 740-753-4441",,school_district,561
263,NEOLA policies,,Ontonagon Area School District,school_district,570
264,Tawas Area Schools,,,school_district,571
265,Jefferson Area Local Schools,"121 South Poplar Street | Jefferson, OH 44047 | (440) 576-9180",,school_district,572
266,Hopewell City Public Schools,"103 N. 12th Avenue, Hopewell, VA 23860 | 804-541-6400",,school_district,574
267,Bellmawr Board of Education eGovernance Site,"256 Anderson Ave  |  Bellmawr, NJ 08031 | 856-931-3620",,school_district,576
268,Marin County Office of Education,"1111 Las Gallinas Avenue. San Rafael, CA 94903 | 415-472-4110",,school_district,581
269,Board of Supervisors,"755 Roanoke St. Ste. 2E | Christiansburg, VA 24073 | (540) 382-6954 | f (540) 382-6943",,drop,582
270,Montabella Community Schools,,,school_district,584
271,Cayuga-Onondaga BOCES,"1879 West Genesee Street Rd. | Auburn, NY 13021 | (315) 253-0361",,school_district,587
272,Lanesville Comunity School Corporation,,,school_district,590
273,Northumberland County School Board Office,"6958 Northumberland Highway, Heathsville, VA | P.O. Box 730, Heathsville, VA 22473 l phone 804.529.6134 | fax 804.529.6449 |",,school_district,591
274,Cory-Rawson Local Schools,"3930 County Road 26 Rawson, Ohio 45881",,school_district,592
275,Triad Community Schools - Unit District #2,"203 East Throp Street | Troy, Illinois 62294 | 618.667.5400",,school_district,598
276,Sand Creek Community Schools,,,school_district,599
277,Campbell County Public Schools,"P.O. Box 99 | Rustburg, VA 24588 | Phone: (434) 332-3458 | Fax: (434) 332-6562",,school_district,604
278,Lake Superior Academy,"8936 S Mackinac Trail, Sault Ste Marie, MI 49783 Phone 906-259-1168",,school_district,605
279,Public School Teachers' Pension and Retirement Fund of Chicago,"425 S Financial Place, Suite 1400, Chicago, IL 60605 | 312-604-1400",,drop,609
280,Coshocton City Schools,,,school_district,614
281,Iberia Parish School System,"1500 Jane Street • P. O. Box 200 • New Iberia, LA 70563  (337) 365-2341",,school_district,615
282,South Adams Schools,"1075 Starfire Way | Berne, IN 46711 | 260-589-3133",,school_district,617
283,"Jackson County, Michigan","120 West Michigan | Jackson, MI 49201 | P: (517) 788-4335 | F: (517) 780-4755",,school_district,620
284,Bay-Arenac Community High School,"805 Langstaff St, Essexville, MI 48732",,school_district,621
285,Triton School Corporation,,,school_district,624
286,Port of Los Angeles High School,"250 West 5th St., San Pedro, CA 90731",,drop,626
287,Pewamo-Westphalia Community Schools,,,school_district,627
288,Cuyahoga Valley Career Center,,,school_district,628
289,Lapeer Community Schools,,,school_district,630
290,Trumbull County Educational Service Center,,,school_district,633
291,McComb Local School,,,drop,634
292,San Mateo County Community College District (SMCCCD),"3401 CSM Drive, San Mateo, CA 94402",,school_district,636
293,"City of Elmhurst, IL","209 N. York St | Elmhurst, IL 60126 | P (630) 530-3000",,drop,637
294,Kenton City Schools,,,school_district,638
295,Youngstown City Schools District,,,school_district,639
296,Meriden Public Schools,"22 Liberty Street | Meriden, CT 06450 | Ph: 203.630.4171",,school_district,641
297,Ventura County Board of Education,"5189 Verdugo Way • Camarillo, CA 93012 • 805-383-1902 • f 805-383-1908",,school_district,644
298,Kearsley Community Schools,,,school_district,645
299,Freeland Community Schoool District,,,school_district,646
300,Four County Career Center,"22-900 St. Rt. 34 Archibold, OH 43502",,school_district,647
301,Cherry Hill Public Schools,"45 Ranoldo Terrace, Cherry Hill, NJ 08034 | (856) 429-5600",,school_district,648
302,Francis Tuttle Technology Center,"12777 N. Rockwell Ave Oklahoma City, OK 73142 • Phone 405.717.7799",,school_district,650
303,Southeast Florida Behavioral Health Network,"8895 N Military Trail, Suite E-102 | Palm Beach Gardens, FL 33410 | (561) 203-2485",,drop,653
304,"City of Manchester, Iowa","208 E Main Street  | Manchester, IA 52057-1797 | 563-927-3636",,drop,654
305,Laingsburg Community Schools,,,school_district,655
306,Lordstown Local Schools,,,school_district,656
307,Livingston Classical Academy,"8877 Main St., Whitmore Lake, MI 48189 Phone: 734-449-2052",,drop,657
308,Washington County Public Schools - MD,"10435 Downsville Pike   |   Hagerstown, MD  21740  |   301-766-2800",,school_district,662
309,Piper USD 203,"Piper District Office |  3130 N 122nd St. Suite A |  Kansas City, KS 66109   |  Ph: (913) 721-2088   |  Fx: (913) 721-3573",,school_district,663
310,Westview School Corporation,,,school_district,664
311,Accomack County Public Schools,"23296 Courthouse Ave | Accomac, VA 23301 | (757) 787-5754",,school_district,665
