LEA_NAME,LEAID,STATENAME,url
Gila Institute for Technology (79387),400349,ARIZONA,
Kaizen Education Foundation dba Vista Grove Prepar (79871),400351,ARIZONA,
American Charter Schools Foundation d.b.a. Estrell (79873),400352,ARIZONA,
American Charter Schools Foundation d.b.a. Peoria  (79875),400353,ARIZONA,
American Charter Schools Foundation d.b.a. Sun Val (79877),400354,ARIZONA,
American Charter Schools Foundation d.b.a. West Ph (79879),400355,ARIZONA,
Nosotros Inc (79881),400356,ARIZONA,
American Charter Schools Foundation d.b.a. Apache  (79883),400357,ARIZONA,
Challenger Basic School Inc. (79886),400359,ARIZONA,
SC Jensen Corporation Inc. dba Intelli-School (79951),400363,ARIZONA,
PAS Charter Inc. dba Intelli-School (79953),400364,ARIZONA,
Valley of the Sun Waldorf Education Association d (79957),400366,ARIZONA,
Pima Prevention Partnership dba Pima Partnership S (79959),400367,ARIZONA,
Midtown Primary School (79994),400370,ARIZONA,
Tucson International Academy Inc. (79979),400373,ARIZONA,
Bell Canyon Charter School Inc (79983),400374,ARIZONA,
Cortez Park Charter Middle School Inc. (79988),400376,ARIZONA,
West Gilbert Charter Middle School Inc. (79990),400377,ARIZONA,
Carpe Diem Collegiate High School (80001),400381,ARIZONA,
CPLC Community Schools dba Toltecalli High School (80032),400382,ARIZONA,
American Charter Schools Foundation d.b.a. Desert  (79872),400384,ARIZONA,
American Charter Schools Foundation d.b.a. Crestvi (79874),400385,ARIZONA,
Kaizen Education Foundation dba Summit High School (79876),400386,ARIZONA,
Kaizen Education Foundation dba Tempe Accelerated  (79878),400387,ARIZONA,
Kaizen Education Foundation dba Skyview High Schoo (79880),400388,ARIZONA,
Kaizen Education Foundation dba Maya High School (79882),400389,ARIZONA,
Camelback Education Inc (79905),400390,ARIZONA,
Vista Charter School (79907),400391,ARIZONA,
Avondale Learning dba Precision Academy (79929),400394,ARIZONA,
All Aboard Charter School (79969),400396,ARIZONA,
CAFA Inc. dba Learning Foundation Performing Arts (79971),400397,ARIZONA,
Cholla Academy (5186),400402,ARIZONA,
Akimel O Otham Pee Posh Charter School Inc. (5978),400403,ARIZONA,
Akimel O'Otham Pee Posh Charter School Inc. (78966),400404,ARIZONA,
Cornerstone Charter SchoolInc (79077),400405,ARIZONA,
Happy Valley School Inc. (79081),400406,ARIZONA,
CITY Center for Collaborative Learning (85448),400407,ARIZONA,
Satori Inc. (85454),400409,ARIZONA,
Mohave Accelerated Elementary School Inc. (85516),400413,ARIZONA,
Academy of Building Industries Inc. (85540),400414,ARIZONA,
Edkey Inc. (85749),400415,ARIZONA,
StarShine Academy (85807),400416,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (85816),400417,ARIZONA,
Gila County Regional School District (87600),400419,ARIZONA,
Pillar Charter School (87334),400420,ARIZONA,
Rosefield Charter Elementary School Inc. (87399),400424,ARIZONA,
East Mesa Charter Elementary School Inc. (87401),400425,ARIZONA,
Arizona Connections Academy Charter School Inc. (87407),400427,ARIZONA,
Country Gardens Charter Schools (79074),400429,ARIZONA,
Portable Practical Educational Preparation Inc. ( (87405),400432,ARIZONA,
Santa Cruz County Regional School District (85848),400434,ARIZONA,
Imagine Charter Elementary at Desert West Inc. (88367),400438,ARIZONA,
Desert Star Community School Inc. (88321),400439,ARIZONA,
Chandler Preparatory Academy (88299),400440,ARIZONA,
Imagine Middle at Surprise Inc. (88372),400441,ARIZONA,
Imagine Middle at East Mesa Inc. (88369),400442,ARIZONA,
Prescott Valley Charter School (88317),400444,ARIZONA,
Imagine Charter Elementary at Camelback Inc. (88365),400445,ARIZONA,
American Charter Schools Foundation d.b.a. South R (88334),400447,ARIZONA,
Desert Sky Community School Inc. (88308),400448,ARIZONA,
Agua Fria Union High School District (4289),400450,ARIZONA,
Graham County Juvenile Detention (79539),400456,ARIZONA,
Cochise County Juvenile Detention (79462),400457,ARIZONA,
Yuma County Juvenile Justice Center (79524),400458,ARIZONA,
Maricopa County Sheriffs Office (79540),400459,ARIZONA,
Yavapai County Juvenile Justice Center (79533),400460,ARIZONA,
Mohave County Juvenile Detention (79589),400461,ARIZONA,
Aguila Elementary District (4249),400480,ARIZONA,
Ajo Unified District (4409),400520,ARIZONA,
Alhambra Elementary District (4280),400600,ARIZONA,
Desert Heights Charter Schools (81099),400610,ARIZONA,
MCCCD on behalf of Phoenix College Preparatory Aca (81174),400614,ARIZONA,
West-MEC - Western Maricopa Education Center (80923),400615,ARIZONA,
American Charter Schools Foundation d.b.a. South P (80989),400618,ARIZONA,
American Charter Schools Foundation d.b.a. Alta Vi (80995),400619,ARIZONA,
Pinnacle Education-Kino Inc. (81009),400625,ARIZONA,
Pinnacle Education-Casa Grande Inc. (81011),400626,ARIZONA,
Cochise Community Development Corporation (81027),400632,ARIZONA,
Canyon Rose Academy Inc. (81029),400633,ARIZONA,
Edkey Inc. - Redwood Academy (81043),400637,ARIZONA,
Edkey Inc. - Pathfinder Academy (81045),400638,ARIZONA,
Edkey Inc. - Sequoia School for the Deaf and Hard (81050),400640,ARIZONA,
Edkey Inc. - Sequoia Ranch School (81052),400641,ARIZONA,
Edkey Inc. dba Arizona Conservatory for Arts and  (79981),400653,ARIZONA,
Veritas Preparatory Academy (80992),400655,ARIZONA,
RSD Charter School Inc. (81033),400656,ARIZONA,
Amphitheater Unified District (4406),400680,ARIZONA,
Legacy Traditional School - Maricopa (88360),400745,ARIZONA,
Eduprize Schools LLC (89412),400746,ARIZONA,
Scottsdale Preparatory Academy (89756),400747,ARIZONA,
Sage Academy Inc. (89414),400748,ARIZONA,
Concordia Charter School Inc. (89556),400751,ARIZONA,
Imagine Desert West Middle Inc. (89563),400754,ARIZONA,
Imagine Camelback Middle Inc. (89561),400756,ARIZONA,
Arete Preparatory Academy (89486),400757,ARIZONA,
Candeo Schools Inc. (89758),400758,ARIZONA,
Glendale Preparatory Academy (89829),400760,ARIZONA,
EAGLE South Mountain Charter Inc. (89850),400763,ARIZONA,
ASU Preparatory Academy (89949),400764,ARIZONA,
Gila County Sheriff's Office (79544),400765,ARIZONA,
Imagine Coolidge Elementary Inc. (89786),400766,ARIZONA,
Gila County Juvenile Detention (79494),400767,ARIZONA,
Pima Prevention Partnership dba Pima Partnership A (89864),400768,ARIZONA,
Imagine Prep Surprise Inc. (89790),400770,ARIZONA,
Blue Adobe Project (89871),400771,ARIZONA,
Mountain Institute CTED #2 (90090),400772,ARIZONA,
Yuma County Sheriff's Office (79472),400773,ARIZONA,
Daisy Education Corporation dba Sonoran Science Ac (89915),400774,ARIZONA,
San Tan Montessori School Inc. (89798),400775,ARIZONA,
Daisy Education Corporation dba Sonoran Science Ac (89914),400776,ARIZONA,
Santa Cruz County Sheriff's Office (79473),400777,ARIZONA,
Daisy Education Corporation dba Paragon Science Ac (89917),400778,ARIZONA,
Greenlee County Sheriff's Office (79542),400779,ARIZONA,
Imagine Avondale Elementary Inc. (89784),400780,ARIZONA,
Haven Montessori Children's House Inc. (89951),400782,ARIZONA,
Imagine Prep Superstition Inc. (89788),400783,ARIZONA,
AZ Compass Schools Inc. (89869),400785,ARIZONA,
Kaizen Education Foundation dba Vista Grove Prepar (90330),400787,ARIZONA,
ASU Preparatory Academy (90273),400788,ARIZONA,
Kaizen Education Foundation dba Liberty Arts Acade (90334),400789,ARIZONA,
Apache Junction Unified District (4443),400790,ARIZONA,
Western Arizona Vocational District #50 (90123),400794,ARIZONA,
Academy Del Sol Inc. (90199),400797,ARIZONA,
Kaizen Education Foundation dba Gilbert Arts Acade (90333),400799,ARIZONA,
The Odyssey Preparatory Academy Inc. (90287),400800,ARIZONA,
Skyline Gila River Schools LLC (90329),400801,ARIZONA,
Imagine Avondale Middle Inc. (90162),400802,ARIZONA,
CAFA Inc. dba Learning Foundation and Performing  (90327),400803,ARIZONA,
Choice Academies Inc. (90138),400805,ARIZONA,
Daisy Education Corporation dba. Sonoran Science A (90284),400807,ARIZONA,
Imagine Superstition Middle Inc. (90160),400810,ARIZONA,
Ombudsman Educational Services LTD a subsidiary  (90326),400811,ARIZONA,
Camp Verde Unified School District dba South Verde (90136),400813,ARIZONA,
CPLC Community Schools dba Hiaki High School (90331),400814,ARIZONA,
Anthem Preparatory Academy (90532),400819,ARIZONA,
Pima Prevention Partnership (90536),400821,ARIZONA,
Daisy Education Corporation dba. Sonoran Science A (90541),400822,ARIZONA,
Kaizen Education Foundation dba Mission Heights Pr (90548),400823,ARIZONA,
Leading Edge Academy Maricopa (90637),400824,ARIZONA,
Arizona Education Solutions (90758),400827,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (90779),400828,ARIZONA,
Archway Classical Academy Trivium West (90915),400832,ARIZONA,
Archway Classical Academy Veritas (90916),400833,ARIZONA,
Archway Classical Academy Chandler (90917),400834,ARIZONA,
Yuma County Education Service Agency (79196),400835,ARIZONA,
Apache County Sheriff's Office (79547),400837,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (91131),400838,ARIZONA,
Pima Rose Academy Inc. (90997),400839,ARIZONA,
Archway Classical Academy Scottsdale (90857),400841,ARIZONA,
Legacy Traditional School - Northwest Tucson (91137),400842,ARIZONA,
La Tierra Community School Inc (90900),400844,ARIZONA,
Leading Edge Academy Queen Creek  (91174),400845,ARIZONA,
Legacy Traditional School - Avondale (91135),400847,ARIZONA,
EAGLE College Prep Harmony LLC (91170),400849,ARIZONA,
Reid Traditional Schools' Painted Rock Academy Inc (91317),400850,ARIZONA,
Trivium Preparatory Academy (90859),400851,ARIZONA,
Kaizen Education Foundation dba Havasu Preparatory (90535),400852,ARIZONA,
Legacy Traditional School - Chandler (91133),400855,ARIZONA,
ASU Preparatory Academy (91305),400859,ARIZONA,
North Phoenix Preparatory Academy (90879),400861,ARIZONA,
The Paideia Academies Inc (91250),400863,ARIZONA,
Happy Valley East (90906),400864,ARIZONA,
Archway Classical Academy Glendale (91878),400866,ARIZONA,
Ball Charter Schools (Val Vista) (90885),400867,ARIZONA,
Legacy Traditional School - Laveen Village (91763),400871,ARIZONA,
Institute for Transformative Education Inc. (90876),400872,ARIZONA,
Archway Classical Academy North Phoenix (91758),400873,ARIZONA,
Maryvale Preparatory Academy (90861),400875,ARIZONA,
George Gervin Youth Center Inc. (90884),400876,ARIZONA,
Empower College Prep (91277),400877,ARIZONA,
Scottsdale Country Day School (91110),400879,ARIZONA,
Southwest Leadership Academy (92043),400880,ARIZONA,
Kaizen Education Foundation dba Advance U (91329),400882,ARIZONA,
ASU Preparatory Academy (92327),400884,ARIZONA,
Incito Schools (91326),400885,ARIZONA,
Archway Classical Academy Cicero (92314),400886,ARIZONA,
Archway Classical Academy Arete (92312),400888,ARIZONA,
ASU Preparatory Academy (92325),400890,ARIZONA,
Legacy Traditional School - Casa Grande (92199),400892,ARIZONA,
Hirsch Academy A Challenge Foundation (91275),400893,ARIZONA,
Kaizen Education Foundation dba Discover U Element (91328),400894,ARIZONA,
Espiritu Community Development Corp. (92250),400895,ARIZONA,
Legacy Traditional School - Gilbert (92047),400899,ARIZONA,
Cicero Preparatory Academy (92316),400900,ARIZONA,
The Farm at Mission Montessori Academy (91340),400902,ARIZONA,
Edkey Inc. - Sequoia Pathway Academy (92226),400904,ARIZONA,
StrengthBuilding Partners (91992),400907,ARIZONA,
Ash Fork Joint Unified District (4471),400910,ARIZONA,
EAGLE College Prep Mesa LLC. (91939),400912,ARIZONA,
Arizona Autism Charter Schools Inc. (91958),400913,ARIZONA,
CASA Academy (91934),400915,ARIZONA,
EAGLE College Prep Maryvale LLC (91938),400916,ARIZONA,
Arizona Language Preparatory (92566),400918,ARIZONA,
Lincoln Preparatory Academy (92657),400919,ARIZONA,
Desert Star Academy (92302),400922,ARIZONA,
Western School of Science and Technology Inc. (91937),400924,ARIZONA,
Archway Classical Academy Lincoln (92656),400925,ARIZONA,
Heritage Academy Laveen Inc. (92520),400926,ARIZONA,
Legacy Traditional School - Queen Creek (92610),400927,ARIZONA,
Noah Webster Schools-Pima (92374),400929,ARIZONA,
Legacy Traditional School - Surprise (92879),400933,ARIZONA,
Self Development Academy-Phoenix (92381),400934,ARIZONA,
Espiritu Schools (92902),400939,ARIZONA,
Academy of Mathematics and Science Inc. (92768),400940,ARIZONA,
Ethos Academy - A Challenge Foundation Academy (92379),400942,ARIZONA,
Leman Academy of Excellence Inc. (92730),400944,ARIZONA,
Pensar Academy (92972),400945,ARIZONA,
ASU Preparatory Academy (346763),400946,ARIZONA,
ASU Preparatory Academy - Casa Grande (92987),400947,ARIZONA,
Legacy Traditional School - Glendale (850100),400948,ARIZONA,
Painted Desert Montessori LLC (123733),400949,ARIZONA,
Pathways In Education-Arizona Inc. (92983),400950,ARIZONA,
Legacy Traditional School - Peoria (850099),400951,ARIZONA,
Kaizen Education Foundation dba Colegio Petite Pho (92989),400952,ARIZONA,
The Grande Innovation Academy (92978),400953,ARIZONA,
Legacy Traditional School - North Chandler (850101),400954,ARIZONA,
Estrella Educational Foundation (92988),400955,ARIZONA,
ASU Preparatory Academy (92716),400956,ARIZONA,
BASIS Charter Schools Inc. (92997),400958,ARIZONA,
Legacy Traditional School - Phoenix (873957),400959,ARIZONA,
BASIS Charter Schools Inc. (549803),400961,ARIZONA,
Legacy Traditional School - East Mesa (834265),400962,ARIZONA,
BASIS Charter Schools Inc. (273398),400963,ARIZONA,
Synergy Public School Inc. (92981),400964,ARIZONA,
ASU Preparatory Academy Digital (522074),400965,ARIZONA,
Highland Prep (92982),400966,ARIZONA,
BASIS Charter Schools Inc. (934316),400967,ARIZONA,
Victory Collegiate Academy Corporation (92985),400968,ARIZONA,
Arizona Agribusiness & Equine Center INC. (134379),400969,ARIZONA,
AIBT Non-Profit Charter High School Inc. (449790),400970,ARIZONA,
Yavapai County Education Service Agency (79194),400972,ARIZONA,
Cochise County School Superintendent (79188),400973,ARIZONA,
Phoenix International Academy (903484),400975,ARIZONA,
Think Through Academy (92976),400976,ARIZONA,
Arizona Language Schools (395879),400977,ARIZONA,
Edison Project (743644),400978,ARIZONA,
BASIS Charter Schools Inc. (783027),400980,ARIZONA,
Science Technology Engineering and Math Arizona (1000050),400981,ARIZONA,
Navajo County Sheriff's Office (79520),400982,ARIZONA,
Yavapai County Sheriff's Office (79492),400983,ARIZONA,
Cochise County Sheriff's Office (79546),400984,ARIZONA,
Pinal County Detention Education Center (79516),400985,ARIZONA,
Maricopa County Detention Education Center (1000313),400986,ARIZONA,
Somerset Academy Arizona Inc. (1000160),400987,ARIZONA,
Valor Preparatory Academy LLC (1000291),400988,ARIZONA,
ARCHES Academy (92980),400989,ARIZONA,
New Learning Ventures Inc. (320470),400990,ARIZONA,
Legacy Traditional School - Goodyear (1000283),400991,ARIZONA,
Kaleidoscope School (1000164),400992,ARIZONA,
New Horizon High School Inc. (1000165),400993,ARIZONA,
Self Development Eastmark Academy (520359),400994,ARIZONA,
Self Development Scottsdale Academy (308420),400995,ARIZONA,
Legacy Traditional School - West Surprise (1000560),400996,ARIZONA,
Legacy Traditional School - North Phoenix (1000568),400997,ARIZONA,
A+ Charter Schools (1000166),400998,ARIZONA,
Freedom Preparatory Academy (1000979),400999,ARIZONA,
Bagdad Unified District (4468),401000,ARIZONA,
Scholars Academy Sunnyslope (1000377),401002,ARIZONA,
Morrison Education Group Inc. (1001157),401003,ARIZONA,
Candeo Schools Inc. (1001161),401004,ARIZONA,
American Charter Schools Foundation dba Ridgeview  (1001346),401005,ARIZONA,
Legacy Traditional School - Mesa (1001397),401006,ARIZONA,
Legacy Traditional School - Deer Valley (1001398),401007,ARIZONA,
Legacy Traditional School - East Tucson (1001399),401008,ARIZONA,
Glen Canyon Outdoor Academy (1001519),401009,ARIZONA,
Madison Highland Prep Phoenix (1001521),401011,ARIZONA,
Colearn Academy Arizona (1001669),401012,ARIZONA,
Online School of Arizona (1001719),401013,ARIZONA,
Cochise County Accommodation School District (1001687),401015,ARIZONA,
SLAM Arizona Inc. (1001859),401016,ARIZONA,
Bicentennial Union High School District (4515),401160,ARIZONA,
Bisbee Unified District (4169),401180,ARIZONA,
Bouse Elementary District (4513),401290,ARIZONA,
Buckeye Union High School District (4284),401410,ARIZONA,
Bullhead City School District (4378),401500,ARIZONA,
Casa Grande Elementary District (4446),401710,ARIZONA,
Casa Grande Union High School District (4453),401740,ARIZONA,
Catalina Foothills Unified District (4410),401760,ARIZONA,
Champie Elementary District (4477),401830,ARIZONA,
Chevelon Butte School District (4198),401920,ARIZONA,
Chinle Unified District (4158),401940,ARIZONA,
Cochise Elementary District (4177),402130,ARIZONA,
Concho Elementary District (4160),402190,ARIZONA,
Coolidge Unified District (4442),402320,ARIZONA,
Cottonwood-Oak Creek Elementary District (4487),402370,ARIZONA,
Dysart Unified District (4243),402690,ARIZONA,
Mary C O'Brien Accommodation District (4435),402740,ARIZONA,
Elfrida Elementary District (4185),402760,ARIZONA,
Eloy Elementary District (4448),402790,ARIZONA,
Fredonia-Moccasin Unified District (4195),403080,ARIZONA,
Fort Huachuca Accommodation District (4167),403150,ARIZONA,
Gadsden Elementary District (4505),403240,ARIZONA,
Ganado Unified School District (4157),403290,ARIZONA,
Gila Bend Unified District (4238),403310,ARIZONA,
Hayden-Winkelman Unified District (4212),403730,ARIZONA,
Hyder Elementary District (4502),403900,ARIZONA,
Baboquivari Unified School District #40 (4412),403950,ARIZONA,
J O Combs Unified School District (4445),403990,ARIZONA,
Kayenta Unified School District #27 (4396),404060,ARIZONA,
Kirkland Elementary District (4480),404170,ARIZONA,
Lake Havasu Unified District (4368),404280,ARIZONA,
Laveen Elementary District (4276),404290,ARIZONA,
Litchfield Elementary District (4281),404380,ARIZONA,
Littlefield Unified District (4374),404410,ARIZONA,
Maine Consolidated School District (4199),404530,ARIZONA,
Marana Unified District (4404),404630,ARIZONA,
Altar Valley Elementary District (4418),404770,ARIZONA,
Mcnary Elementary District (4163),404860,ARIZONA,
Mingus Union High School District (4488),405070,ARIZONA,
Mohave Valley Elementary District (4379),405190,ARIZONA,
Naco Elementary District (4176),405430,ARIZONA,
Navajo County Accommodation District #99 (4386),405500,ARIZONA,
Tonto Basin Elementary District (4215),405760,ARIZONA,
Palominas Elementary School District 49 (4180),405880,ARIZONA,
Patagonia Elementary District (4460),406000,ARIZONA,
Patagonia Union High School District (4462),406030,ARIZONA,
Payson Unified District (4209),406070,ARIZONA,
Peach Springs Unified District (4369),406120,ARIZONA,
Picacho Elementary District (4452),406360,ARIZONA,
Pine Strawberry Elementary District (4214),406510,ARIZONA,
Pomerene Elementary District (4188),406630,ARIZONA,
Prescott Unified District (4466),406730,ARIZONA,
Quartzsite Elementary District (4511),406780,ARIZONA,
Redington Elementary District (4417),406930,ARIZONA,
Saddle Mountain Unified School District (4254),407170,ARIZONA,
Sacaton Elementary District (4449),407200,ARIZONA,
Sahuarita Unified District (4411),407300,ARIZONA,
San Fernando Elementary District (4414),407380,ARIZONA,
Seligman Unified District (4472),407630,ARIZONA,
Skull Valley Elementary District (4478),407770,ARIZONA,
Snowflake Unified District (4391),407820,ARIZONA,
Thatcher Unified District (4219),408410,ARIZONA,
Paloma School District (4255),408430,ARIZONA,
Hillside Elementary District (4482),408460,ARIZONA,
Toltec School District (4450),408550,ARIZONA,
Tombstone Unified District (4168),408600,ARIZONA,
Topock Elementary District (4376),408640,ARIZONA,
Tuba City Unified School District #15 (4197),408680,ARIZONA,
Wenden Elementary District (4512),409120,ARIZONA,
Wickenburg Unified District (4236),409190,ARIZONA,
Yarnell Elementary District (4485),409510,ARIZONA,
Yuma Elementary District (4499),409600,ARIZONA,
Sedona-Oak Creek JUSD #9 (4467),409733,ARIZONA,
Desert Sage School (1001917),409735,ARIZONA,
Legacy Traditional School-San Tan (1001927),409736,ARIZONA,
Archway Classical Academy Trivium West (1001937),409737,ARIZONA,
Arizona Goodwill Education Services (1001949),409738,ARIZONA,
Explore Academy - Peoria (1002006),409739,ARIZONA,
Sun Valley Academy - Glendale Inc. (1002008),409740,ARIZONA,
Heartwood AZ (1002010),409741,ARIZONA,
Paul Revere Academy Inc. (1002013),409743,ARIZONA,
Premier Prep Online Academy (1002029),409744,ARIZONA,
Arizona Collaborative Learning Partners Inc. (1002079),409745,ARIZONA,
Heritage Academy Maricopa Inc. (1002080),409746,ARIZONA,
Heritage Academy Pointe Inc. (1002101),409747,ARIZONA,
Albert Einstein Academy of Arizona (1002310),409748,ARIZONA,
DEQUEEN/MENA EDUC. COOP,500037,ARKANSAS,
WESTARK TECHNICAL CENTER,500053,ARKANSAS,
ASU BEEBE REGIONAL CAREER CENTER - SEARCY,500056,ARKANSAS,
DEER/MT. JUDEA SCHOOL DISTRICT,500072,ARKANSAS,
COSSATOT RIVER SCHOOL DISTRICT,500405,ARKANSAS,
UACCM TECHNICAL CENTER,500429,ARKANSAS,
UACCB TECHNICAL CENTER,500431,ARKANSAS,
COSSATOT COMMUNITY COLLEGE OF THE UA,500438,ARKANSAS,
ARKANSAS MILITARY AND FIRST RESPONDERS ACADEMY (AMFRA),514491,ARKANSAS,
Shasta-Trinity ROP JPA,601402,CALIFORNIA,
Sol Aureus College Preparatory District,601480,CALIFORNIA,
CHIME Institute's Schwarzenegger Community District,601490,CALIFORNIA,
Monsenor Oscar Romero Charter Middle District,601526,CALIFORNIA,
Alliance Ted K. Tajima High District,601568,CALIFORNIA,
Animo Legacy Charter Middle District,601624,CALIFORNIA,
Animo Mae Jemison Charter Middle District,601649,CALIFORNIA,
Animo Jackie Robinson High District,601657,CALIFORNIA,
Animo Ellen Ochoa Charter Middle District,601658,CALIFORNIA,
eCademy Charter at Crane District,601661,CALIFORNIA,
Richmond Charter Elementary-Benito Juarez District,601670,CALIFORNIA,
Morrice Schaefer Charter District,601685,CALIFORNIA,
JCS - Cedar Cove District,601688,CALIFORNIA,
Alliance Leichtman-Levine FAM Foundation Env Sci High DIST,601690,CALIFORNIA,
Alliance Jack H. Skirball Middle District,601694,CALIFORNIA,
Rise Kohyang Elementary District,601721,CALIFORNIA,
Rise Kohyang Middle District,601723,CALIFORNIA,
Dr. Lewis Dolphin Stallworth Sr. Charter District,601748,CALIFORNIA,
Yav Pem Suab Acad - Preparing for the Future Charter DIST,601767,CALIFORNIA,
SAVA - Sacramento ACAD and Vocational Acad - EGUSD DIST,601796,CALIFORNIA,
Ednovate - Brio College Prep District,601799,CALIFORNIA,
Aspire Antonio Maria Lugo Academy District,601821,CALIFORNIA,
Aspire Ollin University Preparatory Academy District,601857,CALIFORNIA,
